Id,SalePrice
2658,142284.99687540627
2718,171149.7016407168
2414,200008.52211657213
1989,108269.81111444207
625,186464.4797021902
333,71576.45964321248
1327,92960.60487783699
858,160704.20404104106
95,204321.0587960577
1568,173395.0726054387
2482,161716.59215220346
1364,117239.28598915885
2584,155551.14523422014
818,308635.76300967933
2673,153684.15157432007
2089,117468.34896345777
1297,152394.37987538404
790,109874.25570046525
2616,207491.58947994135
720,190129.02231758472
222,138186.65159657598
557,125759.31162911188
1148,192352.27401170094
2766,185511.45109223045
534,182010.0765247356
1452,134306.8222388052
630,139054.98344750694
2648,119713.9560096878
125,159589.34175305895
1904,39516.92741869531
1670,107041.2227523769
756,84800.30992685114
717,222357.3634898715
1032,171854.38480887774
852,214421.89279059164
1731,182426.14544031606
2639,112853.6306797984
2071,86413.46518694998
1267,123516.87458055171
1851,206234.33318261523
567,172803.39727949622
2439,204257.94076739153
1898,157093.94805070228
647,169270.95834671747
2256,245435.56353184994
979,81855.98427446072
1444,224514.57648681683
2485,131772.62161136884
157,127838.19632464953
88,120912.26550919158
2003,98292.86881623822
186,200789.93081084546
1425,244927.39728025533
2695,104851.38620156611
738,106488.28987858981
395,160380.32410737345
1353,162042.65819991962
1878,154896.52655548538
390,184541.99671423034
1456,234599.61205031077
1103,311666.62356172485
1387,133210.38648140343
2070,149354.97125065778
1199,196713.30413080342
2479,169424.63808507205
501,304989.74619978946
2362,86445.96140278883
1718,225262.04848652298
2188,62056.114226433856
1483,173717.70256676117
2557,70655.29762594476
437,344817.4405828662
2224,215614.27414845064
1628,186249.77679264217
397,142822.54532353644
587,216772.8164788804
2182,461555.1421726563
971,156934.5026006301
2611,151376.03661336048
1887,97528.49098288473
2399,323932.84594215476
2148,209941.70645785623
304,114589.85264024894
1997,119466.28535141799
2817,125043.44011366753
1431,202416.02818547547
427,338729.53953059355
263,144219.49995902381
598,197496.66291129327
2895,264598.00350748404
687,166370.57709481142
1822,127570.40044003887
2191,102495.12932336025
179,128080.13009749519
1009,239802.56072954056
2010,112126.07639029252
1991,137174.58573169608
1411,146441.4760679496
1721,249959.37976343086
1144,184030.06883771828
593,220885.67220219964
575,293712.05289685406
1249,190550.71949939875
1604,129074.99739724475
1064,421638.6969260072
1923,160099.86443568382
1988,94632.78931299176
2325,178319.94449381562
114,208189.83386895465
2700,176417.526810238
217,139490.71198059592
343,189087.35415447064
386,235420.51879884355
2005,102632.7467370584
2908,128814.38909492931
1814,220797.70694001834
2446,455218.5881760701
208,159761.43693602338
1679,106648.4041649166
822,292219.5820530905
6,186316.15451220714
1781,344273.1899333364
2397,280694.02998376015
2340,298814.6378837308
1618,171004.37220283563
2843,132785.39267093895
1061,363736.07987997396
2786,133324.71008252178
1935,136524.18065209832
1341,117811.4319047789
521,266112.3620383422
2136,156236.33694216653
996,199232.85664829478
227,138181.65055999398
135,177115.39587422676
1167,196354.15180429054
294,243887.55018394708
1776,209358.1598588531
540,177633.59275577677
1717,223595.36280113307
2303,134612.18394825535
116,201439.34802284092
127,133317.166857211
1371,124684.70949002991
1014,175906.34868297772
1507,91820.48671866879
702,136833.39958747415
750,143930.55215973352
261,173171.9265948463
1559,53993.64992152128
577,230133.11485584872
2812,202380.7295157336
2080,144461.84091184978
1368,116079.31450741361
2376,127481.65207419063
659,99970.99013866739
1235,138419.03253220773
332,53703.47423417738
1917,149542.63812026096
2094,260776.5363343272
1460,258733.34677295916
1471,215696.88836466218
1509,112512.70138595827
1922,136243.61281750887
433,429601.96419696877
460,272911.07686810015
1116,254474.5716362293
1137,174534.43649264384
53,181069.79303078848
2354,248315.20854173682
1475,201132.29192876554
1761,462812.59033514163
842,159270.2474090107
2739,153410.8070820885
2509,181681.83969014464
1007,203991.4237360997
2610,177766.77537100506
